studyAccession,individualAccession,individualName,sampleAccession,sampleDescription,sampleName,gender,runAccession,dataName,experimentAccession,platform,strategy
,HRI968377,Null,HRS1236323,,T320,female,HRR1756954,HRR1756954_r2.fq.gz::NOT_FOUND,HRX1413805,Null,
,HRI968378,Null,HRS1236324,,T321,female,HRR1756603,HRR1756603_f1.fq.gz::NOT_FOUND,HRX1413454,Null,
,HRI968378,Null,HRS1236324,,T321,female,HRR1756603,HRR1756603_r2.fq.gz::NOT_FOUND,HRX1413454,Null,
,HRI968378,Null,HRS1236324,,T321,female,HRR1756955,HRR1756955_f1.fq.gz::NOT_FOUND,HRX1413806,Null,
,HRI968378,Null,HRS1236324,,T321,female,HRR1756955,HRR1756955_r2.fq.gz::NOT_FOUND,HRX1413806,Null,
,HRI968379,Null,HRS1236325,,T322,male,HRR1756604,HRR1756604_f1.fq.gz::NOT_FOUND,HRX1413455,Null,
,HRI968379,Null,HRS1236325,,T322,male,HRR1756604,HRR1756604_r2.fq.gz::NOT_FOUND,HRX1413455,Null,
,HRI968379,Null,HRS1236325,,T322,male,HRR1756956,HRR1756956_f1.fq.gz::NOT_FOUND,HRX1413807,Null,
,HRI968379,Null,HRS1236325,,T322,male,HRR1756956,HRR1756956_r2.fq.gz::NOT_FOUND,HRX1413807,Null,
,HRI968380,Null,HRS1236326,,T323,female,HRR1756605,HRR1756605_f1.fq.gz::NOT_FOUND,HRX1413456,Null,
,HRI968380,Null,HRS1236326,,T323,female,HRR1756605,HRR1756605_r2.fq.gz::NOT_FOUND,HRX1413456,Null,
,HRI968380,Null,HRS1236326,,T323,female,HRR1756957,HRR1756957_f1.fq.gz::NOT_FOUND,HRX1413808,Null,
,HRI968380,Null,HRS1236326,,T323,female,HRR1756957,HRR1756957_r2.fq.gz::NOT_FOUND,HRX1413808,Null,
,HRI968381,Null,HRS1236327,,T324,female,HRR1756606,HRR1756606_f1.fq.gz::NOT_FOUND,HRX1413457,Null,
,HRI968381,Null,HRS1236327,,T324,female,HRR1756606,HRR1756606_r2.fq.gz::NOT_FOUND,HRX1413457,Null,
,HRI968381,Null,HRS1236327,,T324,female,HRR1756958,HRR1756958_f1.fq.gz::NOT_FOUND,HRX1413809,Null,
,HRI968381,Null,HRS1236327,,T324,female,HRR1756958,HRR1756958_r2.fq.gz::NOT_FOUND,HRX1413809,Null,
,HRI968382,Null,HRS1236328,,T325,male,HRR1756607,HRR1756607_f1.fq.gz::NOT_FOUND,HRX1413458,Null,
